,latitude,longitude,altitude
114,28.033700536,86.882310842,5728.5
115,28.033669781,86.88043729,5719.0
116,28.033573617,86.87839973,5776.8
117,28.033497377,86.877297829,5831.1
118,28.033405099,86.875981734,5891.1
119,28.033346877,86.874153934,5918.3
120,28.033291921,86.872325226,5944.6
121,28.032978938,86.870101938,5968.6
122,28.032936678,86.868500981,5986.7
123,28.032700192,86.867364629,6004.4
124,28.03240107,86.864665194,6051.7
125,28.031923598,86.863123209,6076.6
126,28.031640888,86.861124904,6123.3
127,28.030960496,86.858886485,6151.2
128,28.030443793,86.857676698,6206.5
129,28.030296513,86.856777233,6283.1
130,28.028968392,86.854385651,6605.3
131,28.027918751,86.851233257,6426.3
132,28.027426226,86.849790252,6288.0
133,28.02403733,86.849457026,6214.4
134,28.019146005,86.848411497,5848.9
135,28.016959313,86.847433596,5756.9
136,28.014983773,86.847087377,5660.6
137,28.011525802,86.846769402,5516.6
138,28.009463091,86.846390355,5430.9
139,28.005913375,86.846399153,5414.4
140,28.000681148,86.846058067,5345.3
141,27.996893459,86.84572386,5268.5
142,27.990142708,86.845728018,5228.2
143,27.987392995,86.845726397,5188.1
144,27.981669235,86.845057263,5165.6
145,27.973903642,86.845738827,5452.1
146,27.968979914,86.845551577,5312.4
147,27.963601331,86.845586155,5431.9
148,27.96020318,86.846184541,5532.4
149,27.95721469,86.846122778,5483.5
150,27.954508634,86.845848506,5339.9
151,27.95226788,86.846552603,5541.1
152,27.950036752,86.846996242,5733.8
153,27.948258963,86.847156424,5791.6
154,27.945477438,86.847042904,5568.6
155,27.943662756,86.846884439,5492.7
156,27.940568237,86.847198457,5417.2
157,27.938591339,86.84712777,5362.7
158,27.937757827,86.847383606,5349.0
159,27.936764108,86.847700117,5376.0
160,27.93542349,86.848334173,5503.4
161,27.934462138,86.848669704,5617.1
162,27.932395698,86.848731215,5612.2
163,27.928547134,86.848308438,5283.9
164,27.925020311,86.848222841,5226.4
165,27.922768399,86.848133427,5145.0
166,27.92081466,86.848595762,5136.5
167,27.919085409,86.848832071,5144.2
168,27.917525905,86.849267526,5119.0
169,27.916591813,86.849211605,5082.4
170,27.914514256,86.849822482,5018.3
171,27.91321226,86.850538427,5004.9
172,27.913086156,86.85156006,5021.8
173,27.907980428,86.957168228,5365.0
174,27.908722781,86.958685662,5471.3
175,27.909211184,86.961069818,5630.4
176,27.909751734,86.963165358,5750.2
177,27.91015434,86.96554248,5882.4
178,27.910509204,86.967223132,5984.6
179,27.910648518,86.967846838,6048.4
180,27.910889689,86.968643049,6108.1
181,27.911451402,86.970404347,6298.6
182,27.911535756,86.971391082,6393.1
183,27.911288111,86.973629629,6249.2
184,27.911151455,86.974645897,6204.0
185,27.911086752,86.976083512,6172.0
186,27.911065142,86.976563349,6164.4
187,27.911202933,86.978234787,6136.3
188,27.912248211,86.980062678,6113.6
189,27.913280487,86.981433662,6108.8
190,27.914597011,86.982972567,6143.8
191,27.915973451,86.983834815,6274.1
192,27.918083947,86.984632637,6436.0
193,27.919096121,86.986393085,6436.1
194,27.92183898,86.988498954,6439.9
195,27.92421318,86.990005713,6084.8
196,27.935175496,86.995284226,5898.6
197,27.943904574,86.995877378,6565.2
198,27.94823564,86.996476735,6313.3
199,27.954631548,86.995314352,6784.0
200,27.955440749,86.995628107,6763.2
201,27.958703241,86.997393486,6307.0
202,27.962746102,86.997417917,6157.9
203,27.966973106,86.998510448,5807.2
204,27.969718395,86.998860427,5641.5
205,27.971308399,86.999036924,5593.8
206,27.975044776,86.998747746,5603.5
207,27.977299365,86.998834357,5516.3
208,27.978737664,86.99889023,5501.8
209,27.98079574,86.998979346,5473.6
210,27.981207515,86.998999613,5468.2
211,27.983466557,86.999165404,5391.7
212,27.985545229,86.999232156,5353.5
213,27.988061043,86.999465105,5349.1
214,27.990791466,86.999676405,5330.3
215,27.993943364,86.999868804,5328.3
216,27.997937858,87.000025651,5326.7
217,28.003163594,86.99946802,5446.7
218,28.005853149,86.998928215,5561.9
219,28.008345343,86.998833327,5612.5
220,28.010622255,86.998920527,5651.2
221,28.013177657,86.999228074,5505.9
222,28.016719716,86.998916336,5504.8
223,28.017949327,86.998798403,5528.5
224,28.020794292,86.997584512,5622.0
225,28.022858672,86.997050919,5636.2
226,28.025287947,86.99591325,5657.8
227,28.026504568,86.995586818,5679.9
228,28.027309356,86.99505506,5690.2
229,28.028919125,86.994453211,5743.4
230,28.03023293,86.992523532,5820.8
231,28.031708608,86.990078063,6052.0
232,28.032712471,86.98733259,6062.6
233,28.03335893,86.984965559,6221.0
234,28.034132726,86.980925166,6315.3
235,28.034243503,86.977193521,6303.5
236,28.034008605,86.973346169,6355.9
237,28.032934764,86.970489452,6544.5
238,28.032087229,86.968127604,6741.6
239,28.03172351,86.965975809,6674.7
240,28.031843498,86.963480632,6530.3
241,28.032084895,86.961298763,6483.2
242,28.032907075,86.958392354,6445.0
243,28.033363739,86.955521792,6369.1
244,28.033979803,86.953037864,6320.8
245,27.917980106,86.856550357,5159.7
246,27.921764349,86.857337885,5218.1
247,27.929572348,86.858602566,5203.4
248,27.933262029,86.858860917,5249.8
249,27.94090291,86.858536588,5277.3
250,27.942029441,86.858591653,5315.8
251,27.94543368,86.858111858,5452.1
252,27.949998536,86.856353263,5437.5
253,27.965079942,86.85482219,5819.6
254,27.970238331,86.854734188,6139.0
255,27.970972412,86.854302245,6043.5
256,27.975391109,86.851890764,5382.0
257,27.988582597,86.851307969,5376.4
258,27.996974581,86.850971385,5258.2
259,28.000130288,86.850961117,5276.3
